ProductID,City,Tour Name (CN),Tour Name (EN),Duration (Days),Daily Itinerary (CN),Daily Itinerary (EN),Optional Items (CN)
BJ-P-01,北京,北京经典2日游,Beijing Essentials 2-Day,2,"Day 1: 天安门广场(外景)+毛泽东纪念堂(外景)+人民大会堂(外景)+故宫+景山+胡同什刹海+京剧演出和晚餐(可选)
Day 2: 慕田峪长城+颐和园+涮肉(推荐)","Day 1: Tiananmen Square, Forbidden City, Jingshan, Beijing Hutong Light Walk / Cycling, Peking Opera Dinner (Optional)
Day 2: Mutianyu Great Wall, Summer Palace","梨园京剧, 涮肉"
BJ-P-02,北京,北京深度3日游,Beijing Panorama 3-Day,3,"Day 1: 天安门广场(外景)+毛泽东纪念堂(外景)+人民大会堂(外景)+故宫+景山+胡同什刹海+京剧演出和晚餐(可选)
Day 2: 慕田峪长城+颐和园+涮肉(建议)
Day 3: 雍和宫+天坛+烤鸭(建议)","Day 1: Tiananmen Square, Forbidden City, Jingshan, Beijing Hutong Light Walk / Cycling, Peking Opera Dinner (Optional)
Day 2: Mutianyu Great Wall, Summer Palace
Day 3: Temple of Heaven, Yonghe (Lama) Temple, Hanfu Shooting (Optional)","梨园京剧, 涮肉, 烤鸭"
BJ-P-03,北京,北京全景4日游,Beijing Complete 4-Day,4,"Day 1: 天坛+雍和宫+京剧演出和晚餐(可选)
Day 2: 慕田峪长城+奥林匹克公园(外景)+涮肉(建议)
Day 3: 天安门广场(外景)+毛泽东纪念堂(外景)+人民大会堂(外景)+故宫+景山+胡同什刹海+烤鸭(建议)
Day 4: 颐和园+汉服体验(可选)+胡同酒馆(推荐)","Day 1: Temple of Heaven, Yonghe (Lama) Temple
Day 2: Mutianyu Great Wall, Olympic Park
Day 3: Tiananmen Square, Forbidden City, Jingshan, Beijing Hutong Light Walk / Cycling, Peking Opera Dinner (Optional)
Day 4: Summer Palace, Hanfu Shooting (Optional)","梨园京剧, 涮肉, 烤鸭, 汉服体验, 胡同酒馆"
CD-P-01,成都,成都悠闲2日游,Chengdu 2-Day,2,"Day 1: 武侯祠+成都博物馆+太古里+川剧变脸(推荐)
Day 2: 大熊猫基地+人民公园+宽窄巷子+串串(推荐)","Day 1: Wuhou Shrine, Chengdu Museum, Taikoo Li, Sichuan Opera Performance (Recommended)
Day 2: Giant Panda Base, People's Park, Kuanzhai Alley, Chuan Chuan (Recommended)","川剧变脸表演, 串串"
CQ-P-01,重庆,重庆山城2日游,Chongqing Essentials 2-Day,2,"Day 1: 人民大礼堂+山城巷+长江索道+下浩里+盖碗茶(推荐)+川剧变脸(可选)
Day 2: 武隆+两江游(可选) 或 大足石刻+磁器口/麻花体验+洪崖洞火锅(推荐)","Day 1: Great Hall & Shancheng Lane, Yangtze River Cableway, Sichuan Opera Face-Changing (Optional)
Day 2: Your Choice: Option A: Wulong Karst / Option B: Dazu Carvings, Ciqikou Town","盖碗茶, 川剧变脸表演, 两江夜游, 洪崖洞火锅"
CQ-P-02,重庆,重庆山水3日游,Chongqing Panorama 3-Day,3,"Day 1: 人民大礼堂+山城巷+长江索道+下浩里+盖碗茶(推荐)+川剧变脸(可选)
Day 2: 武隆+两江游(可选)+洪崖洞火锅(推荐)
Day 3: 大足石刻+磁器口古镇/制作麻花体验","Day 1: Great Hall & Shancheng Lane, Yangtze River Cableway, Sichuan Opera Face-Changing (Optional)
Day 2: Wulong Karst
Day 3: Dazu Carvings, Ciqikou Town, Dough Twist Workshop (Optional)","盖碗茶, 川剧变脸表演, 两江夜游, 洪崖洞火锅"
CQ-P-03,重庆,重庆山水5日游,Chongqing Complete 5-Day (incl. Cruise),5,"Day 1: 人民大礼堂+山城巷传统风貌区 + 长江索道 + 下浩里 + 盖碗茶（推荐）+洪崖洞火锅推荐
Day 2: 大足石刻+开始游轮行
Day 3: 重庆-宜昌3日游轮+返回重庆","Day 1: Great Hall & Shancheng Lane, Yangtze River Cableway, Sichuan Opera Face-Changing (Optional)
Day 2: Dazu Carvings, Begin the river journey
Day 3: Fengdu Ghost City, 'War Flames of the Three Kingdoms', Captain's Bridge Visit
Day 4: Wuxia (Witch) Gorge Sailing, 'Top of the Three Gorges' Hike, Onboard Activities
Day 5: Three Gorges Dam, High-Speed Train to Chongqing",
GZ-P-01,广州,广州商都1日探秘,Guangzhou Interesting 1-Day,1,Day 1: 世界工厂探秘+市场淘宝+网红直播基地(可选)+冰啤收尾(推荐),"Day 1: Wholesale Market Deep Dive, Live-Streaming Hub Visit (Optional)","网红直播基地探访, 冰啤收尾"
GZ-P-02,广州,广州经典2日游,Guangzhou Panorama 2-Day,2,"Day 1: 西关寻踪(陈家祠+沙面+永庆坊)+非遗体验(可选)+荔湾博物馆+广州塔+夜市大排档(推荐)
Day 2: 古龙峡+SPA自助(可选)","Day 1: Chen Clan Ancestral Hall, Shamian Island, Yongqing Fang, Xiguan Folk Museum, Guangzhou Thirteen-Hongs Museum, Guangzhou Tower
Day 2: Gu Long Gorge Day Trip, Wellness SPA (Optional)","非遗体验, 夜市大排档, SPA自助"
GZ-P-03,广州,广州历史文化3日游,Guangzhou Complete 3-Day,3,"Day 1: 西关寻踪(陈家祠+沙面+永庆坊)+非遗体验(可选)+荔湾博物馆+广州塔+夜市大排档(推荐)
Day 2: 越秀公园+南越王博物院+中山纪念堂+咏春拳体验(可选)+地道粤菜(推荐)
Day 3: 古龙峡+SPA自助(可选)","Day 1: Chen Clan Ancestral Hall, Shamian Island, Yongqing Fang, Xiguan Folk Museum, Guangzhou Thirteen-Hongs Museum, Guangzhou Tower
Day 2: Yuexiu Park, Museum of the Nanyue King, Sun Yat-sen Memorial Sites, Huiji Old Streets, Wing Chun Kung Fu (Optional)
Day 3: Gu Long Gorge Day Trip, Wellness SPA (Optional)","非遗体验, 夜市大排档, 咏春拳体验, 地道粤菜, SPA自助"
GZH-P-01,贵州,贵州民族风情4日游,Guizhou Immersive 4-Day,4,"Day 1: 甲秀楼+青岩古镇
Day 2: 施洞苗银村+下司古镇
Day 3: 肇兴侗寨
Day 4: 荔波小七孔","Day 1: Jiaxiu Tower, Qingyan Ancient Town
Day 2: Shidong Miao Silversmith Village, Xiasi Ancient Town
Day 3: Zhaoxing Dong Village
Day 4: Xiaoqikong National Park",
SH-P-01,上海,上海精华2日游,Shanghai Essentials 2-Day,2,"Day 1: 人民公园+上海博物馆+豫园+城隍庙+外滩CW+黄浦江夜游(可选)+外滩用餐(推荐)
Day 2: 中共一大+静安寺+武康路+法租界小酌(推荐)","Day 1: People's Park, Shanghai Museum, Yu Garden, City God Temple, The Bund Citywalk, Huangpu River Night Cruise (Optional)
Day 2: Shanghai's Layers Walk: CCP history, a golden temple, French Concession villas","黄浦江夜游, 外滩用餐, 法租界小酌"
SH-P-02,上海,上海江南3日游,Shanghai Panorama 3-Day,3,"Day 1: 人民公园+上海博物馆+豫园+城隍庙+外滩CW+黄浦江夜游(可选)+外滩用餐(推荐)
Day 2: 朱家角古镇+非遗/汉服体验(可选)+本帮菜(推荐)
Day 3: 中共一大+静安寺+武康路+法租界小酌(推荐)","Day 1: People's Park, Shanghai Museum, Yu Garden, City God Temple, The Bund Citywalk, Huangpu River Night Cruise (Optional)
Day 2: Zhujiajiao Water Town, Hanfu Shooting (Optional), Zujiajiao Cloth Workshop (Optional)
Day 3: Shanghai's Layers Walk: CCP history, a golden temple, French Concession villas","黄浦江夜游, 外滩用餐, 非遗老布手工体验, 本帮菜, 法租界小酌"
SH-P-03,上海,上海乐园4日游,Shanghai Complete 4-Day,4,"Day 1: 人民公园+上海博物馆+豫园+城隍庙+外滩CW+外滩用餐(推荐)
Day 2: 朱家角古镇+非遗/汉服体验(可选)+本帮菜(推荐)
Day 3: 中共一大+静安寺+武康路+法租界小酌(推荐)
Day 4: 迪士尼","Day 1: People's Park, Shanghai Museum, Yu Garden, City God Temple, The Bund Citywalk, Huangpu River Night Cruise (Optional)
Day 2: Zhujiajiao Water Town, Hanfu Shooting (Optional), Zujiajiao Cloth Workshop (Optional)
Day 3: Shanghai's Layers Walk: CCP history, a golden temple, French Concession villas
Day 4: Shanghai Disneyland","外滩用餐, 非遗老布手工体验, 本帮菜, 法租界小酌"
XA-P-01,西安,西安古都2日游,Xi'an Essentials 2-Day,2,"Day 1: 兵马俑博物馆+兵马俑DIY+骊山园+唐乐舞表演(可选)
Day 2: 明城墙骑行+钟鼓楼+回民街+大雁塔","Day 1: Terracotta Army & Mausoleum Park, Terracotta Warrior DIY Workshop, Tang Dynasty Palace Show (Optional)
Day 2: Xi'an City Wall, Bell/Drum Towers & Muslim Quarter, Big Wild Goose Pagoda",唐乐舞表演
XA-P-02,西安,西安盛唐3日游,Xi'an Panorama 3-Day,3,"Day 1: 兵马俑博物馆+兵马俑DIY+骊山园+唐乐舞表演(可选)
Day 2: 明城墙骑行+钟鼓楼+回民街+大雁塔
Day 3: 大唐芙蓉园+大唐不夜城","Day 1: Terracotta Army & Mausoleum Park, Terracotta Warrior DIY Workshop, Tang Dynasty Palace Show (Optional)
Day 2: Xi'an City Wall, Bell/Drum Towers & Muslim Quarter, Big Wild Goose Pagoda
Day 3: Tang Paradise & Everbright City",唐乐舞表演
YN-P-01,云南,云南彩云之境5日游,Yunnan 5-Day,5,"Day 1: 昆明石林+昆明老街
Day 2: 大理古城+白族文化体验
Day 3: 洱海+丽江古城+纳西文化体验
Day 4: 香格里拉+虎跳峡+独克宗古城+唐卡绘制体验
Day 5: 普达措国家公园+返回丽江","Day 1: Kunming Stone Forest, Kunming Old Street
Day 2: Dali Old Town, Bai Ethnic Culture Experience
Day 3: Erhai Lake, Lijiang Old Town, Naxi Culture Experience
Day 4: Shangri-La, Tiger Leaping Gorge, Dukezong Ancient Town, Thangka Painting Experience
Day 5: Pudacuo National Park, Return to Lijiang",
YS-P-01,阳朔,阳朔山水2日游,Yangshuo Essentials 2-Day,2,"Day 1: 遇龙河漂流+十里画廊骑行+西街
Day 2: 古镇+漓江电动竹筏(兴坪-九马画山)+相公山","Day 1: Yulong River Bamboo Raft, Ten-Mile Gallery Cycling, West Street Stroll
Day 2: Xingping Ancient Town, Li River Motorized Raft, Xianggong Hill Climb",
YS-P-02,阳朔,阳朔深度3日游,Yangshuo Panorama 3-Day,3,"Day 1: 遇龙河漂流+十里画廊骑行+阳朔西街
Day 2: 古镇+漓江电动竹筏(兴坪-九马画山)+相公山
Day 3: 全地形山地车+岩洞探险(或飞拉达)+中餐烹饪体验","Day 1: Yulong River Bamboo Raft, Ten-Mile Gallery Cycling, West Street Stroll
Day 2: Xingping Ancient Town, Li River Motorized Raft, Xianggong Hill Climb
Day 3: All-Terrain ATV, Chinese Cooking Class, Choice: Karst Cave Exploration / Via Ferrata Climb",
ZJJ-P-01,张家界,张家界奇景2日游,Zhangjiajie Essentials 2-Day,2,"Day 1: 天门山(含玻璃栈桥和索道)+三下锅(推荐)
Day 2: 森林公园+魅力湘西(可选)","Day 1: Tianmen Mountain Excursion
Day 2: Golden Whip Stream, Yuanjiajie, Tianzi Mountain Peaks, Charming Xiangxi Show (Optional)","三下锅, 魅力湘西表演"
ZJJ-P-02,张家界,张家界全景3日游,Zhangjiajie Panorama 3-Day,3,"Day 1: 天门山(含玻璃栈桥和索道)+三下锅(推荐)
Day 2: 森林公园+魅力湘西(可选)
Day 3: 芙蓉镇+苗族长桌宴+凤凰古镇 或 七星山飞拉达+七十二奇楼","Day 1: Tianmen Mountain Excursion
Day 2: Golden Whip Stream, Yuanjiajie, Tianzi Mountain Peaks, Charming Xiangxi Show (Optional)
Day 3: Your Choice: Qixingshan Via Ferrata, 72 Strange Towers / Furong Town, Miao Long-table Banquet, Phoenix Ancient Towns","三下锅, 魅力湘西表演"
