,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,产品名称,Chongqing 2 Days,,,产品名称,Chongqing 2 Days,,,,,,,,,,,,,,,,,,
,产品编号,CQ-P-01,,,产品编号,CQ-P-01,,,,,,,,,,,,,,,,,,
,市内交通方式,半自助打车/包车,,,市内交通方式,半自助打车/包车,,,,,,,,,,,,,,,,,,
,行程,,,,行程,,,,,,,,,,,,,,,,,,,
,D1,人民大礼堂+山城巷+长江索道+下浩里,,,D1,人民大礼堂+山城巷+长江索道+下浩里,,,,,,,,,,,,,,,,,,
,D2,武隆+两江游(可选) or 大足石刻+磁器口,,,D2,武隆+两江游(可选) or 大足石刻+磁器口,,,,,,,,,,,,,,,,,,
,产品成本,2280,2070,,产品成本,4780,4160,,,,,,,,,,,,,,,,,
,利润保留,30%,,,利润保留,30%,,,,,,,,,,,,,,,,,,
,售价,2964,2691,,售价,6214,5408,,,,,,,,,,,,,,,,,
,单人售价/2人,1482,1345.5,,单人售价/4人,1553.5,1352,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,日期,项目编号,城市,服务类目,项目名称,项目说明,单价,单价（旺季）,单位,数量（2人）,数量（4人）,小计（2人）,小计（4人）,备注,,,,,,,,,,
,Day 1,CQ-TICKET-01,重庆,门票,人民大礼堂,外观免费，入内参观,10,,人,2,4,20,40,,,,,,,,,,,
,Day 1,CQ-TICKET-02,重庆,门票,长江索道,单程票,30,,人,2,4,60,120,,,,,,,,,,,
,Day 1,CQ-GUIDE-01,重庆,导游,英文导游-初级,8h景点讲解,600,,天,1,1,600,600,,,,,,,,,,,
,Day 1,CQ-ACTIVITY-01,重庆,活动,川剧变脸表演,含茶水小吃,150,,人,0,,0,0,"可选,不计入成本",,,,,,,,,,
,Day 1,CQ-TRANS-07,重庆,打车,滴滴快车,市内,200,,天,0,,0,0,,,,,,,,,,,
,Day 1,CQ-TRANS-02,重庆,车辆,7座车,市内包车+司机,700,,天,0,1,0,700,,,,,,,,,,,
,Day 1,CQ-REC-01,重庆,推荐活动,盖碗茶,人均30,,,,0,,0,0,"推荐,不计入成本",,,,,,,,,,
,,,,,,,,,,,,0,0,,,,,,,,,,,
,Day 2,CQ-TICKET-03,重庆,门票,武隆,天生三桥+地缝,260,,人,0,0,0,0,Plan A,,,,,,,,,,
,Day 2,CQ-TRANS-05,重庆,车辆,市内+武隆往返,包车+司机,1200,,天,0,0,0,0,Plan A,,,,,,,,,,
,Day 2,CQ-TICKET-04,重庆,门票,大足石刻,宝顶山,155,,人,2,4,310,620,Plan B,,,,,,,,,,
,Day 2,CQ-ACTIVITY-03,重庆,活动,麻花制作体验,在磁器口古镇,80,,人,0,,0,0,Plan B,,,,,,,,,,
,Day 2,CQ-TRANS-06,重庆,车辆,市内+大足石刻往返,包车+司机,1000,,天,0,1,0,1000,Plan B,,,,,,,,,,
,Day 2,CQ-TRANS-07,重庆,打车,滴滴快车,市内+大足石刻往返,500,,天,0,,0,0,,,,,,,,,,,
,Day 2,CQ-GUIDE-01,重庆,导游,英文导游-初级,8h景点讲解,600,,天,1,1,600,600,,,,,,,,,,,
,Day 2,CQ-ACTIVITY-02,重庆,活动,两江夜游,含船票,138,,人,0,,0,0,"可选,不计入成本",,,,,,,,,,
,Day 2,CQ-REC-02,重庆,推荐活动,洪崖洞火锅,人均150,,,,0,,0,0,"推荐,不计入成本",,,,,,,,,,
,,CQ-ADD-01,重庆,补贴服务费,司导餐住补贴,参考：320餐补 服务200/人：480/960,480,,次,1,1,480,480,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,总计,,,,,,,,,,,2070,4160,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,产品名称,Chongqing 3 Days,,,产品名称,Chongqing 3 Days,,,,,,,,,,,,,,,,,,
,产品编号,CQ-P-02,,,产品编号,CQ-P-02,,,,,,,,,,,,,,,,,,
,市内交通方式,半自助打车/包车,,,市内交通方式,半自助打车/包车,,,,,,,,,,,,,,,,,,
,行程,,,,行程,,,,,,,,,,,,,,,,,,,
,D1,人民大礼堂+山城巷+长江索道+下浩里,,,D1,人民大礼堂+山城巷+长江索道+下浩里,,,,,,,,,,,,,,,,,,
,D2,武隆+两江游(可选)+洪崖洞火锅(推荐),,,D2,武隆+两江游(可选)+洪崖洞火锅(推荐),,,,,,,,,,,,,,,,,,
,D3,大足石刻+磁器口/麻花体验,,,D3,大足石刻+磁器口/麻花体验,,,,,,,,,,,,,,,,,,
,产品成本,3410,,,产品成本,6800,,,,,,,,,,,,,,,,,,
,利润保留,30%,,,利润保留,30%,,,,,,,,,,,,,,,,,,
,售价,4433,,,售价,8840,,,,,,,,,,,,,,,,,,
,单人售价/2人,2216.5,,,单人售价/4人,2210,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,日期,项目编号,城市,服务类目,项目名称,项目说明,单价,单价（旺季）,单位,数量（2人）,数量（4人）,小计（2人）,小计（4人）,备注,,,,,,,,,,
,Day 1,CQ-TICKET-01,重庆,门票,人民大礼堂,外观免费，入内参观,10,,人,2,4,20,40,,,,,,,,,,,
,Day 1,CQ-TICKET-02,重庆,门票,长江索道,单程票,20,,人,2,4,40,80,,,,,,,,,,,
,Day 1,CQ-GUIDE-01,重庆,导游,英文导游-初级,8h景点讲解,600,,天,1,1,600,600,,,,,,,,,,,
,Day 1,CQ-ACTIVITY-01,重庆,活动,川剧变脸表演,含茶水小吃,150,,人,,0,0,0,"可选,不计入成本",,,,,,,,,,
,Day 1,CQ-TRANS-07,重庆,打车,滴滴快车,市内,200,,天,,0,0,0,,,,,,,,,,,
,Day 1,CQ-TRANS-02,重庆,车辆,7座车,市内包车+司机,700,,天,,1,0,700,,,,,,,,,,,
,Day 1,CQ-REC-01,重庆,推荐活动,盖碗茶,人均30,,,,,,0,0,"推荐,不计入成本",,,,,,,,,,
,,,,,,,,,,,,0,0,,,,,,,,,,,
,Day 2,CQ-TICKET-03,重庆,门票,武隆,天生三桥+地缝,260,,人,2,4,520,1040,,,,,,,,,,,
,Day 2,CQ-GUIDE-01,重庆,导游,英文导游-初级,8h景点讲解,600,,天,1,1,600,600,,,,,,,,,,,
,Day 2,CQ-TRANS-05,重庆,车辆,7座市内+武隆往返,包车+司机,1200,,天,,1,0,1200,,,,,,,,,,,
,Day 2,CQ-ACTIVITY-02,重庆,活动,两江夜游,含船票,138,,人,,,0,0,"可选,不计入成本",,,,,,,,,,
,Day 2,CQ-REC-02,重庆,推荐活动,洪崖洞火锅,人均150,,,,,,0,0,"推荐,不计入成本",,,,,,,,,,
,,,,,,,,,,,,0,0,,,,,,,,,,,
,Day 3,CQ-TICKET-04,重庆,门票,大足石刻,宝顶山,155,,人,2,4,310,620,,,,,,,,,,,
,Day 3,CQ-GUIDE-01,重庆,导游,英文导游-初级,8h景点讲解,600,,天,1,1,600,600,,,,,,,,,,,
,Day 3,CQ-ACTIVITY-03,重庆,活动,麻花制作体验,在磁器口古镇,80,,人,,,0,0,,,,,,,,,,,
,Day 3,CQ-TRANS-06,重庆,车辆,市内+大足石刻往返,包车+司机,600,,天,,1,0,600,,,,,,,,,,,
,Day 3,CQ-TRANS-07,重庆,打车,滴滴快车,市内+大足石刻往返,500,,天,,0,0,0,,,,,,,,,,,
,,CQ-ADD-01,重庆,补贴服务费,司导餐住补贴,320餐补 服务200/人：560/720,720,,次,1,1,720,720,,,,,,,,,,,
,总计,,,,,,,,,,,3410,6800,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,产品名称,Chongqing 3 Days (incl. Cruise),,,产品名称,Chongqing 3 Days (incl. Cruise),,,,,,,,,,,,,,,,,,
,产品编号,CQ-P-03,,,产品编号,CQ-P-03,,,,,,,,,,,,,,,,,,
,市内交通方式,包车+游轮,,,市内交通方式,包车+游轮,,,,,,,,,,,,,,,,,,
,行程,,,,行程,,,,,,,,,,,,,,,,,,,
,D1,人民大礼堂+山城巷+长江索道+下浩里,,,D1,人民大礼堂+山城巷+长江索道+下浩里,,,,,,,,,,,,,,,,,,
,D2,大足石刻+开始游轮行,,,D2,大足石刻+开始游轮行,,,,,,,,,,,,,,,,,,
,D3,重庆-宜昌3日游轮,,,D3,重庆-宜昌3日游轮,,,,,,,,,,,,,,,,,,
,产品成本,9110,,,产品成本,18740,,,,,,,,,,,,,,,,,,
,利润保留,30.0%,,,利润保留,30.0%,,,,,,,,,,,,,,,,,,
,售价,11843,,,售价,24362,,,,,,,,,,,,,,,,,,
,单人售价/2人,5922,,,单人售价/4人,6091,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,日期,项目编号,城市,服务类目,项目名称,项目说明,单价,单价（旺季）,单位,数量（2人）,数量（4人）,小计（2人）,小计（4人）,备注,,,,,,,,,,
,Day 1,CQ-TICKET-01,重庆,门票,人民大礼堂,外观免费，入内参观,10,,人,2,4,20,40,,,,,,,,,,,
,Day 1,CQ-TICKET-02,重庆,门票,长江索道,单程票,30,,人,2,4,60,120,,,,,,,,,,,
,Day 1,CQ-GUIDE-01,重庆,导游,英文导游-初级,8h景点讲解,600,,天,1,1,600,600,,,,,,,,,,,
,Day 1,CQ-ACTIVITY-01,重庆,活动,川剧变脸表演,含茶水小吃,150,,人,,,0,0,"可选,不计入成本",,,,,,,,,,
,Day 1,CQ-TRANS-07,重庆,打车,滴滴快车,市内,200,,天,,0,0,0,,,,,,,,,,,
,Day 1,CQ-TRANS-02,重庆,车辆,7座车,市内包车+司机,700,,天,,1,0,700,,,,,,,,,,,
,Day 1,CQ-REC-01,重庆,推荐活动,盖碗茶,人均30,,,,,,0,0,"推荐,不计入成本",,,,,,,,,,
,,,,,,,,,,,,0,0,,,,,,,,,,,
,Day 2,CQ-TICKET-04,重庆,门票,大足石刻,宝顶山,155,,人,2,4,310,620,,,,,,,,,,,
,Day 2,CQ-GUIDE-01,重庆,导游,英文导游-初级,8h景点讲解,600,,天,1,1,600,600,,,,,,,,,,,
,Day 2,CQ-TRANS-06,重庆,车辆,市内+大足石刻往返,包车+司机,1000,,天,,1,0,1000,,,,,,,,,,,
,Day 2,CQ-TRANS-07,重庆,打车,滴滴快车,市内+大足石刻往返,500,,天,,0,0,0,,,,,,,,,,,
,,,,,,,,,,,,0,0,,,,,,,,,,,
,Day 3-5,CQ-ACTIVITY-04,重庆,活动,三峡游轮,重庆-宜昌3日游,3300,,人,2,4,6600,13200,,,,,,,,,,,
,,CQ-ADD-01,重庆,补贴服务费,司导餐住补贴,320餐补 服务200/人：560/720,720,,次,1,1,560,720,,,,,,,,,,,
,,CQ-TRANS-09,宜昌,车辆,7座三峡中心-宜昌东站,包车+司机,420,"
",天,"
",1,,420,,,,,,,,,,,
,,CQ-TRANS-010,宜昌-重庆,高铁,二等座,单程票,180,"
",天,2,4,360,720,,,,,,,,,,,
,,,,,,,,,,,,0,0,,,,,,,,,,,
,总计,,,,,,,,,,,9110,18740,,,,,,,,,,,
